sunet,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30
absinha,18-24,male,suburban,hobbies,ambition,analytical,friendly,pursuing hobbies,sports,liberal,3,fun,balanced,entj,finanical stability,rejection,no,never,graudation,no,logical analysus,agnostic,tech gadget,developing new skills,analyzing all options,humor,save it,"over $150,000",asian,english
collinj2,18-24,male,small town,hobbies,integrity,extroverted,reserved,pursuing hobbies,arts & crafts,liberal,2-3,loyalty,happy,infj,career growth,loneliness,yes,rarely,loss of a loved one,somewhat,trial and error,atheist,home,achieving work life balance,analyzing all options,honesty,save it,"60,000-100,000",asian,korean
noelsd,18-24,male,"small rural town, santa clara, cuba","work, exercising, hobbies, friends family time",ambition,thoughtful,confident,"working on personal projects, pursuing hobbies and spending time with friends and family",exercising,liberal moderate,4,trust,adventurous,entj,financial stability,loss,no,rarely,moving to the united stats,no,logical analysis,atheist,motorcycle,growing my ventures and mastering very difficult skills,analyzing all options,intelligence,save it,60000-100000,hispanic,spanish
huanxing,18-24,male,urban,work,compassion,introverted,awkward,travelling,reading,moderate,4-5,trust,strict,infp,personal development,loneliness,no,rarely,moving to a new country,yes,asking for help,agnostic,tech gadget,achieving work-life balance,analyzing all options,empathy,buy something special,"$60,000-$100,000",asian,chinese
changamy,18-24,female,urban,hobbies,ambition,analytical,awkward,traveling,traveling,liberal,2-3,fun,difficult,inpj,financial stability,loss,yes,frequently,moving to a new country,yes,intuition,atheist,tech gadget,helping others,taking immediate action,intelligence,save it,"$30,000 - $60,000",asian,chinese
vinocour,18-24,female,suburban,work,ambition,thoughtful,friendly,working on personal projects,arts & crafts,liberal,2-3,trust,happy,infj,personal development,failure and loss,unsure,rarely,moving to a new country,somewhat,asking for help,spiritual but not religious,family heirloom,becoming a leader in my field,analyzing all options,"intelligence, loyalty",save it,-,hispanic/latino,spanish
micheliu,18-24,female,"urban, suburban",family time,compassion,analytical,reserved,travelling,travelling,apolitical,more than 5,intellectual connection,adventurous,isfp,"financial stability, family, career growth",uncertainty,unsure,rarely,moving to a new country,yes,logical analysis,atheist,car,becoming a leader in my field,taking immediate action,honesty,nothing,over 150000,asian,chinese
sipper,25-34,female,suburban,work,compassion,extroverted,confident,working,arts,liberal,5,loyalty,difficult,idk,stability,uncertainty,yes,constantly,loss,yes,intuition,spiritual,family heirloom,leader,analysing,humor,save it,40k,mixed,english
xingyiz,18-24,female,urban,relaxing,independence,thoughtful,friendly,helping others,reading,apolitical,4-5,intellectual connection,adventurous,intp,personal development,failure,yes,frequently,moving to a new country,no,intuition,atheist,family heirloom,becoming a leader in my field,relying on instinct,empathy,save it,prefer not to answer,asian,chinese
bradleyh,18-24,male,suburban,work,integrity,thoughtful,friendly,traveling,traveling,liberal,4-5,loyalty,difficult,i don't know,career growth,uncertainty,yes,rarely,birth of a child,somewhat,logical analysis,undecided,jewelry,financial independence,taking immediate action,loyalty,nothing,prefer not to answer,asian,chinese
vikram29,18-24,male,urban,socializing,integrity,extroverted,confident,working on personal projects,arts & crafts,moderate,2-3,intellectual connection,balanced,entp,career growth,failure,no,occasionally,loss of a loved one,no,logical analysis,undecided,jewelry,achieving worklife balance,analyzing all options,honesty,save it,"over $150,000",asian,english
adsun,18-24,male,suburban,work,ambition,thoughtful,friendly,traveling,traveling,liberal,4-5,intellectual connection,balanced,intj,career growth,failure,no,never,moving to a new country,yes,logical analysis,strongly religious,tech gadget,becoming a leader in my field,analyzing all options,honesty,save it,"over $150,000",asian,chinese
kzhu05,18-24,male,suburban,work,compassion,extroverted,friendly,working on personal projects,traveling,moderate,2-3,shared experiences,difficult,enfj,personal development,loneliness,yes,frequently,solo-traveling in asia,yes,asking for help,agnostic,tech gadget,helping others,analying all options,empathy,save it,"$30,000 - $60,000",asian,chinese
kjeong,18-24,female,multiple locations,hobbies,ambition,thoughtful,confident,pursuing hobbies,traveling,apolitical,more than 5,loyalty,adventurous,entj,personal development,uncertainty,yes,rarely,moving to a new country,yes,logical analysis,atheist,family heirloom,becoming a leader in my field,analyzing all options,loyalty,buy something special,"over $150,000",asian,other
linasmn,25-34,male,urban,work,ambition,thoughtful,confident,working on personal projects,sports,moderate,more than 5,intellectual connection,adventurous,i don't know,career growth,loss,no,occasionally,moving to a new country,no,logical analysis,agnostic,tech gadget (laptop with my research),becoming a leader in my field,analyzing all options,empathy,donate it to charity,"$60,000 - $100,000",white/caucasian,other (lithuanian)
kwonko,25-34,male,"seoul, korea",work,ambition,extroverted,neutral,traveling,sports,moderate,4-5,trust,balanced,intj,personal development,loss,no,rarely,,unsure,logical analysis,,macbook,startup,find best solution,loyalty,fancy dinner,idk,asian,korean
btiryaki,25-34,female,suburban,"work, exercising",ambition,"extroverted, thoughtful",reserved,pursuing hobbies,sports,conservative,4-5,"trust, intellectual connection",balanced,istj-t,financial stability,loneliness,yes,constantly,loss of a loved one,somewhat,logical analysis,agnostic,tech gadget,financial independence,analyzing all options,intelligence,buy somethings special,"$30,000-$60,000",white/caucasian,other
drewsung,18-24,male,"urban, suburban","work, exercising",compassion,thoughtful,confident,"personal projects, traveling","boxing, gaming (but right now, i don't game much)",moderate,3,"fun, trust",balanced,enfp,career + intellectual growth,"having feelings of regret on my deathbed, also potential cut short",no,frequently but i tend not to act on them,"losing a fellow classmate to s**cide, even though we weren't close, opened my eyes to how many people might be struggling silently. it's motivated me to check in more often, and to spread kindness and support, even to those who i wouldn't consider a ""close"" friend. i want to see everyone around me live their lives to the fullest, and help them reach their fullest potential.","somewhat, as an asian-american in ca who has lived in a few vastly different communities","logic, avoidance when necessary",strongly religious but not imposing on others,my stuffed otter named otto :),helping others,"advice, analysis","empathy, humor, willingness to not take themselves too seriously","invest it, or give it to someone who needs it more than me","my parents make over $150k, but it's not my money that i make.",asian,"english, korean"
vinocour,18-24,female,urban,socializing,compassion,thoughtful,reserved,traveling,reading,liberal,4-5,trust,happy,i don't know,personal development,loneliness,no,rarely,moving to college,yes,logical analysis,atheist,jewelry,"achieving work-life balance, helping others",seeking advice,enpathy,social event with friends,"over $150,000",white/caucasian,french
tuli,18-24,female,urban,work and socializing,ambition,extroverted,reserved,pursuing hobbies,traveling,liberal,2 to 3,fun,happy,entj,career growth,failure,yes,na,coming to college,somewhat,logical analysis,spiritual but not religious,jewelry,financial independence,analyzing all options,empathy,donate time to charity,"over 150,000",asian (south asian),english
riyadule,18-24,female,urban,work,compassion,outgoing,friendly,travelling,travelling,liberal,3,shared experiences,balanced,i don't know,career growth,loneliness,no,rarely,graduation,no,intuition,spiritual but not religious,home,achieving work-life balance,seeking advice,humor,save it,"over $150,000",asian,english
tinamai,18-24,female,"urban, suburban","work, socializing",ambition,thoughtful,friendly,working on personal projects,"traveling, reading",moderate,more than 5,intellectual connection,happy,entp,"career growth, relationships",loss,no,constantly,"moving to a new country, graduation",somewhat,logical analysis,spiritual but not religious,tech gadget (laptop),becoming a leader in my field,seeking advice,empathy,save it,prefer not to answer,asian,chinese
fraserr,25-34,male,urban,work,integrity,thoughtful,friendly,working on personal projects,sports,liberal,2-3,trust,balanced,i don't know,career growth,failure,no,rarely,graduation,no,logical analysis,atheist,family heirloom,helping others,analysing all options,empathy,work a side gig,"over $150,000",white,english
bob9001,18-24,male,multiple locations,hobbies,ambition,thoughtful,reserved,pursuing hobbies,video games,moderate,more than 5,fun,adventurous,intj,career growth,loneliness,no,rarely,moving to a new country,yes,intuition,atheist,home,becoming a leader in my field,relying on instinct,intelligence,save it,"less than $30,000",asian,chinese
aditesh,18-24,male,suburban,work,integrity,thoughtful,reserved,helping others,sports,prefer not to answer,prefer not to answer,trust,strict,istj,career growth,failure,prefer not to answer,prefer not to answer,prefer not to answer,somewhat,logical analysis,prefer not to answer,prefer not to answer,prefer not to answer,relying on instinct,honesty,save it,prefer not to answer,asian,english
aspark,18-24,male,suburban,work,ambition,outgoing,neutral,traveling,reading,moderate,4-5,intellectual connection,happy,intj,career growth,failure,unsure,rarely,graduation,yes,logical analysis,agnostic,home,becoming a leader in my field,analyzing all options,intelligence,buy something special,over $150k,asian,korean
jtian25,18-24,male,small town,work,compassion,outgoing,friendly,pursuing hobbies,sports,prefer not to answer,more than 5,fun,balanced,intj,financial stability,loss,prefer not to answer,occasionally,loss of a loved one,yes,logical analysis,undecided,prefer not to answer,helping others,analyze all options,empathy,save it,prefer not to answer,asian,english
kdao,18-24,male,suburban,hobbies,compassion,thoughtful,reserved,traveling,video games,liberal,2,trust,adventurous,entj,financial stability,failure,no,rarely,attending college,yes,logical analysis,atheist,pc,financial independence,analyzing all options,empathy,save it,"less than $30,000",asian,vietnamese
ruishich,18-24,female,multiple location,work,compassion,introverted,friendly,traveling,sports,apolitical,4-5,trust,balanced,enfj,career growth,uncertainty,no,never,moving to a new country,somewhat,logical analysis,undecided,tech gadget,becoming a leader in my field,analyzing all options,empathy and honesty,work a side gig,skip,asian,chinese
nickvo,18-24,male,suburban,work,integrity,thoughtful,reserved,helping others,reading/video games,liberal,2-3,shared experiences,balanced,enfj,career growth,loss,yes,rarely,meeting my partner,yes,logical analysis,religious,"family heirlooms (photoes, memories, etc.)",helping others,analyzing all options,empathy,save it,grad student income,asian,english
bwthomas,18-24,male,urban,work,integrity,analytical,reserved,working on personal projects,reading,liberal,4-5,intellectual connection,difficult,entj,personal development,rejection,yes,never,loss of a loved one,yes,logical analysis,athiest,tech gadget,becoming a leader in my field,analyzing all options,intelligence,buy something special,"60,000-100,000",white/caucasian,english
ealexand,18-24,female,multiple locations,work and exercising,integrity,thoughtful,reserved,helping others,arts and crafts,liberal,4-5,trust,balanced,i don't know,personal development,uncertainty,yes,frequently,moving to a new country,yes,logical analysis,agnostic,home,finanical independence,analyzing all options,honesty,buy something special,prefer not to answer,white/caucasian,other
wpo,25-34,male,rural,work,ambition,introverted,reserved,working on personal projects,video games,conservative,4-5,fun,balanced,entj,career growth,failure,no,frequently,moving to a new country,no,intuition,agnostic,jewelry,financial independence,analyzing all options,honesty,nothing,"over $150,000",white/caucasian,english
yinjunw,18-24,male,multiple locations,work,ambition,introvrted,friendly,traveling,reading,mederate,4-5,intellectual connection,balanced,intj,personal development,rejection,no,rarely,birth of a child,no,logical analysis,atheist,family,becoming a leader in my field,analyze all opinions,honesty,save it,"$60,000 - $100,000",asian,chinese
